iter	Passed	Remaining
0	508	507837
1	1078	538362
2	1580	525123
3	2067	514897
4	2554	508395
5	3034	502746
6	3536	501617
7	3985	494218
8	4495	494971
9	4971	492153
10	5425	487770
11	5915	487038
12	6394	485481
13	6865	483532
14	7321	480802
15	7781	478549
16	8208	474668
17	8616	470104
18	9035	466511
19	9513	466185
20	9974	465004
21	10439	464101
22	10932	464382
23	11391	463250
24	11851	462200
25	12278	459959
26	12733	458875
27	13213	458692
28	13713	459150
29	14160	457842
30	14633	457413
31	15070	455890
32	15518	454733
33	15929	452574
34	16365	451230
35	16832	450731
36	17269	449477
37	17729	448832
38	18204	448583
39	18678	448289
40	19200	449114
41	19715	449706
42	20142	448291
43	20548	446458
44	20966	444959
45	21398	443792
46	21857	443187
47	22315	442592
48	22793	442387
49	23226	441309
50	23692	440858
51	24178	440797
52	24585	439288
53	25032	438534
54	25455	437379
55	25918	436915
56	26357	436051
57	26792	435139
58	27256	434720
59	27703	434020
60	28170	433646
61	28634	433213
62	29116	433053
63	29602	432938
64	30053	432305
65	30528	432031
66	30945	430932
67	31422	430671
68	31866	429971
69	32304	429183
70	32798	429145
71	33278	428917
72	33759	428699
73	34206	428046
74	34675	427659
75	35179	427707
76	35631	427120
77	36138	427170
78	36600	426702
79	37040	425965
80	37501	425476
81	37977	425162
82	38464	424960
83	38953	424779
84	39428	424440
85	39866	423696
86	40302	422940
87	40776	422590
88	41232	422052
89	41721	421855
90	42131	420853
91	42636	420807
92	43069	420044
93	43536	419616
94	44012	419279
95	44479	418847
96	44918	418155
97	45382	417703
98	45778	416633
99	46267	416407
100	46483	413749
101	46942	413281
102	47428	413039
103	47922	412869
104	48358	412201
105	48846	411970
106	49292	411388
107	49758	410968
108	50238	410661
109	50717	410353
110	51154	409698
111	51593	409066
112	52053	408599
113	52513	408128
114	52952	407502
115	53406	406992
116	53868	406544
117	54335	406133
118	54765	405447
119	55240	405094
120	55716	404750
121	56205	404494
122	56637	403830
123	57082	403259
124	57568	402982
125	58009	402383
126	58496	402109
127	58980	401807
128	59453	401429
129	59770	400000
130	60266	399784
131	60707	399195
132	61181	398829
133	61683	398639
134	62174	398378
135	62666	398118
136	63183	398011
137	63659	397641
138	64086	396968
139	64593	396790
140	65080	396484
